id_producto,nombre,precio,stock,categoria,calificacion,descuento_porcentaje
116,Peluche_307,1080.85,183,Juguetes,4.6,5
117,Gorra_875,1808.47,27,Ropa,4.3,50
118,Sofa_935,1063.55,194,Hogar,3.4,5
119,Poesia_416,635.96,322,Libros,4.0,5
120,Pantalon_293,313.28,466,Ropa,4.8,15
121,Sofa_507,1185.9,245,Hogar,3.4,50
122,Tenis_118,2236.22,311,Deportes,1.1,0
123,Tablet_753,2070.63,254,Electronica,2.9,5
124,Tablet_436,290.86,354,Electronica,1.7,0
125,Poesia_166,1239.97,418,Libros,2.5,0
126,Lego_188,1084.02,315,Juguetes,2.5,5
127,Tablet_681,650.27,368,Electronica,1.1,20
128,Lego_442,1421.66,279,Juguetes,1.3,15
129,Pantalon_650,2398.87,212,Ropa,1.3,5
130,Laptop_436,375.37,496,Electronica,4.7,5
131,Lego_724,91.27,225,Juguetes,2.8,50
132,Monitor_824,175.9,489,Electronica,1.9,50
133,Comic_710,1534.49,113,Libros,4.7,15
134,Lego_252,287.83,90,Juguetes,1.2,50
135,Tablet_554,1179.62,324,Electronica,3.6,50
136,Raqueta_315,496.25,380,Deportes,3.5,20
137,Bicicleta_378,2310.36,353,Deportes,4.8,5
138,Mesa_782,1261.53,477,Hogar,4.4,5
139,Lampara_510,90.18,165,Hogar,3.5,0
140,Sofa_591,2366.43,115,Hogar,5.0,0
141,Peluche_762,1910.29,412,Juguetes,3.8,5
142,Gorra_203,1446.72,470,Ropa,2.3,0
143,Puzzle_788,1726.08,475,Juguetes,1.5,50
144,Licuadora_844,1103.53,204,Hogar,1.0,20
145,Tenis_375,136.96,299,Deportes,3.8,0
146,Chaqueta_638,634.18,405,Ropa,2.2,0
147,Bicicleta_213,618.7,413,Deportes,1.1,5
148,Camisa_401,2388.8,218,Ropa,3.1,10
149,Enciclopedia_634,1536.45,461,Libros,3.6,15
150,Silla_933,36.97,14,Hogar,1.6,10
151,Poesia_999,1095.5,339,Libros,3.2,20
152,Muneca_835,1442.71,448,Juguetes,1.6,0
153,Puzzle_419,2281.78,449,Juguetes,1.9,15
154,Silla_704,2252.67,475,Hogar,3.4,10
155,Tenis_879,619.38,27,Deportes,4.3,15
156,Puzzle_620,285.96,207,Juguetes,2.8,5
157,Novela_164,2067.77,477,Libros,3.9,5
158,Raqueta_796,442.02,202,Deportes,3.4,10
159,Sofa_457,1415.56,311,Hogar,3.8,0
160,Tablet_785,1327.63,4,Electronica,3.1,15
161,Gorra_740,363.42,456,Ropa,2.1,0
162,Gorra_144,828.02,61,Ropa,1.4,0
163,Celular_342,1826.81,141,Electronica,1.7,0
164,Lampara_688,969.9,105,Hogar,3.4,20
165,Calcetines_715,2368.62,463,Ropa,2.2,0
166,Balon_990,126.56,179,Deportes,5.0,15
167,Monitor_519,2437.65,253,Electronica,1.0,15
168,Pesas_952,231.0,67,Deportes,1.8,0
169,Laptop_209,376.34,16,Electronica,2.9,10
170,Muneca_956,2175.05,122,Juguetes,2.4,15
171,Lampara_916,324.96,320,Hogar,2.6,50
172,Celular_699,18.75,397,Electronica,1.0,0
173,Sofa_514,864.03,96,Hogar,1.1,15
174,Mesa_897,1138.28,19,Hogar,1.6,0
175,Celular_732,797.43,398,Electronica,1.2,50
176,Gorra_550,662.74,79,Ropa,2.4,5
177,Muneca_750,1708.03,354,Juguetes,1.7,5
178,Poesia_645,397.09,29,Libros,1.9,20
179,Poesia_547,873.31,251,Libros,3.0,10
180,Licuadora_280,2252.86,281,Hogar,4.0,10
181,Bicicleta_380,2128.37,344,Deportes,1.1,20
182,Audifonos_675,1953.57,132,Electronica,2.5,15
183,Pesas_567,2203.39,451,Deportes,2.8,50
184,Licuadora_617,1940.98,50,Hogar,5.0,50
185,Mesa_116,2001.16,136,Hogar,1.7,20
186,Licuadora_770,2216.42,365,Hogar,1.1,5
187,Audifonos_744,2179.31,369,Electronica,2.4,50
188,Comic_453,669.05,84,Libros,4.3,50
189,Calcetines_480,2278.72,295,Ropa,4.9,20
190,Poesia_259,1709.38,320,Libros,1.2,50
191,Calcetines_931,225.83,127,Ropa,3.6,20
192,Carro RC_913,1298.11,269,Juguetes,3.1,10
193,Calcetines_909,99.57,414,Ropa,4.7,10
194,Peluche_979,403.4,460,Juguetes,2.8,0
195,Muneca_846,10.73,72,Juguetes,3.9,20
196,Raqueta_433,2182.04,275,Deportes,1.8,5
197,Celular_236,932.31,241,Electronica,1.7,0
198,Silla_398,1655.26,43,Hogar,3.0,50
199,Comic_227,2016.87,165,Libros,3.3,50
200,Celular_762,64.64,410,Electronica,1.1,50
201,Comic_763,644.7,161,Libros,1.5,0
202,Tenis_326,1154.22,333,Deportes,3.6,0
203,Laptop_450,1818.37,122,Electronica,1.4,5
204,Sofa_676,685.5,10,Hogar,3.5,20
205,Pantalon_500,756.18,487,Ropa,4.1,20
206,Muneca_124,996.31,21,Juguetes,3.2,0
207,Celular_353,702.7,426,Electronica,3.6,5
208,Celular_679,1709.36,212,Electronica,3.9,0
209,Tenis_466,223.91,303,Deportes,3.8,5
210,Gorra_679,340.43,299,Ropa,3.8,0
211,Gorra_748,1182.79,271,Ropa,2.9,5
212,Camisa_658,2236.49,440,Ropa,3.8,5
213,Enciclopedia_508,1527.41,204,Libros,4.4,0
214,Lego_392,708.48,422,Juguetes,1.3,0
215,Balon_302,1488.63,287,Deportes,1.9,20
216,Tablet_677,1811.13,131,Electronica,4.6,50
217,Lego_842,589.49,147,Juguetes,1.5,50
218,Mesa_575,1510.24,261,Hogar,2.6,5
219,Muneca_909,1765.62,219,Juguetes,1.9,50
220,Gorra_770,2447.62,343,Ropa,3.0,0
221,Comic_422,1697.09,273,Libros,4.8,15
222,Gorra_971,1397.95,326,Ropa,2.4,15
223,Lampara_328,2050.89,252,Hogar,1.2,15
224,Enciclopedia_109,1744.14,246,Libros,2.8,5
225,Laptop_950,160.75,336,Electronica,1.5,10
226,Comic_396,2266.87,266,Libros,2.0,50
227,Silla_166,104.56,34,Hogar,3.3,0
228,Mesa_317,2368.95,396,Hogar,3.8,0
229,Comic_611,729.36,318,Libros,4.1,0
230,Monitor_692,1298.17,41,Electronica,4.4,5
231,Enciclopedia_520,2465.72,452,Libros,2.9,0
232,Chaqueta_822,299.18,320,Ropa,2.6,50
233,Lampara_802,86.47,203,Hogar,4.7,10
234,Lampara_692,2379.06,229,Hogar,4.2,15
235,Tablet_947,802.18,70,Electronica,1.7,10
236,Muneca_752,1763.44,240,Juguetes,4.0,20
237,Pesas_918,883.76,243,Deportes,2.0,10
238,Novela_462,1240.5,7,Libros,3.6,20
239,Puzzle_672,1138.19,10,Juguetes,1.5,5
240,Monitor_802,1073.23,268,Electronica,2.6,50
241,Bicicleta_332,761.9,259,Deportes,1.9,5
242,Pesas_403,369.47,452,Deportes,2.1,15
243,Calcetines_779,850.79,72,Ropa,1.9,10
244,Pantalon_160,1732.95,14,Ropa,3.3,10
245,Gorra_506,1037.46,238,Ropa,1.0,0
246,Camisa_619,1455.45,447,Ropa,4.2,50
247,Balon_802,1562.06,406,Deportes,2.2,15
248,Bicicleta_911,2395.48,221,Deportes,3.8,50
249,Silla_816,1348.92,129,Hogar,1.2,50
250,Peluche_291,2113.92,76,Juguetes,2.3,10
251,Camisa_660,719.6,488,Ropa,4.8,0
252,Celular_767,846.02,338,Electronica,2.5,0
253,Peluche_583,2109.87,328,Juguetes,4.2,20
254,Diccionario_994,1239.29,112,Libros,1.2,0
255,Celular_946,1523.38,172,Electronica,2.7,15
256,Mesa_750,2444.01,399,Hogar,3.8,0
257,Silla_725,2135.4,436,Hogar,2.9,5
258,Comic_779,21.84,348,Libros,3.0,20
259,Licuadora_138,1163.31,107,Hogar,4.7,20
260,Tenis_342,954.17,266,Deportes,4.7,20
261,Puzzle_910,2348.08,352,Juguetes,4.4,0
262,Tenis_305,332.86,48,Deportes,2.5,0
263,Silla_601,319.77,350,Hogar,4.8,5
264,Diccionario_805,443.81,408,Libros,1.5,10
265,Celular_122,949.41,279,Electronica,2.3,15
266,Pantalon_104,2093.38,30,Ropa,1.8,15
267,Novela_980,13.79,314,Libros,4.7,0
268,Muneca_864,1323.47,348,Juguetes,3.1,15
269,Sofa_425,261.55,142,Hogar,4.8,50
270,Poesia_425,2063.06,235,Libros,1.3,10
271,Carro RC_152,1518.81,180,Juguetes,4.1,5
272,Licuadora_908,928.28,20,Hogar,3.0,20
273,Tenis_272,1012.85,194,Deportes,4.1,5
274,Enciclopedia_429,426.96,166,Libros,1.2,0
275,Sofa_871,72.19,59,Hogar,2.3,10
276,Camisa_444,853.11,33,Ropa,3.0,0
277,Diccionario_276,1496.09,378,Libros,2.9,50
278,Carro RC_352,1032.3,278,Juguetes,3.5,20
279,Tablet_925,2097.07,332,Electronica,1.8,50
280,Monitor_155,1027.53,242,Electronica,4.4,0
281,Lampara_318,745.38,168,Hogar,3.0,5
282,Raqueta_956,835.86,439,Deportes,3.3,15
283,Diccionario_769,2486.91,49,Libros,5.0,10
284,Poesia_819,1340.94,385,Libros,2.1,15
285,Silla_263,100.56,389,Hogar,1.3,15
286,Monitor_842,1261.18,27,Electronica,1.5,50
287,Audifonos_263,808.82,200,Electronica,4.1,5
288,Balon_832,1049.97,81,Deportes,4.2,15
289,Monitor_174,1957.94,84,Electronica,4.6,10
290,Poesia_685,1320.22,321,Libros,3.9,20
291,Lego_434,969.64,240,Juguetes,3.8,15
292,Balon_275,634.01,369,Deportes,3.3,5
293,Puzzle_856,861.64,337,Juguetes,1.8,20
294,Pesas_962,334.49,364,Deportes,4.9,15
295,Pantalon_149,2220.42,361,Ropa,3.6,0
296,Mesa_544,659.08,120,Hogar,2.2,5
297,Gorra_599,941.71,204,Ropa,2.0,50
298,Calcetines_947,1568.76,205,Ropa,3.6,15
299,Enciclopedia_572,1798.2,114,Libros,3.3,15
300,Puzzle_818,2222.03,195,Juguetes,2.9,5
301,Sofa_901,2249.15,403,Hogar,3.2,5
302,Balon_428,892.77,365,Deportes,4.1,50
303,Silla_273,209.67,196,Hogar,3.3,5
304,Lego_616,522.31,301,Juguetes,1.7,15
305,Chaqueta_396,2273.44,433,Ropa,4.8,10
306,Audifonos_959,356.26,334,Electronica,3.2,0
307,Puzzle_848,818.96,406,Juguetes,3.0,5
308,Monitor_897,1755.12,447,Electronica,3.4,10
309,Licuadora_749,1079.65,117,Hogar,4.8,5
310,Bicicleta_529,850.79,234,Deportes,1.3,0
311,Audifonos_300,262.04,68,Electronica,2.3,15
312,Calcetines_744,1161.82,395,Ropa,1.9,5
313,Balon_946,734.53,243,Deportes,4.7,0
314,Diccionario_324,2344.32,29,Libros,1.1,0
315,Monitor_640,2285.54,123,Electronica,1.5,5
316,Enciclopedia_619,878.76,460,Libros,2.6,0
317,Celular_782,1851.25,2,Electronica,4.4,5
318,Puzzle_468,86.6,151,Juguetes,4.4,50
319,Raqueta_750,1853.95,48,Deportes,4.4,0
320,Pantalon_702,1223.25,218,Ropa,4.1,50
321,Laptop_434,276.03,94,Electronica,1.4,0
322,Balon_383,813.19,485,Deportes,1.4,15
323,Audifonos_625,1019.52,32,Electronica,2.9,5
324,Raqueta_677,974.66,193,Deportes,3.2,5
325,Audifonos_772,59.07,78,Electronica,4.4,50
326,Pantalon_303,2329.64,294,Ropa,5.0,10
327,Enciclopedia_678,505.6,17,Libros,3.2,20
328,Peluche_652,901.6,492,Juguetes,3.9,20
329,Chaqueta_287,1338.19,418,Ropa,1.8,20
330,Diccionario_364,223.21,223,Libros,2.1,0
331,Novela_421,2089.62,184,Libros,4.5,50
332,Celular_371,1853.63,121,Electronica,1.5,20
333,Tenis_753,2124.3,160,Deportes,2.3,10
334,Lego_719,1392.16,356,Juguetes,4.9,10
335,Silla_607,1940.42,178,Hogar,3.5,0
336,Peluche_243,584.0,10,Juguetes,3.5,0
337,Balon_720,334.99,320,Deportes,4.7,10
338,Pesas_996,774.43,54,Deportes,2.7,20
339,Chaqueta_880,1123.25,60,Ropa,1.7,20
340,Camisa_629,355.7,93,Ropa,2.1,20
341,Poesia_360,588.26,425,Libros,4.7,10
342,Tenis_750,1947.46,248,Deportes,3.1,15
343,Tablet_348,1658.41,127,Electronica,3.3,0
344,Licuadora_665,2240.67,475,Hogar,2.8,0
345,Celular_623,171.84,369,Electronica,2.1,20
346,Diccionario_739,1143.04,437,Libros,1.4,0
347,Diccionario_676,421.46,140,Libros,1.4,5
348,Diccionario_134,497.58,291,Libros,2.6,0
349,Licuadora_880,1508.52,146,Hogar,3.3,5
350,Licuadora_589,1630.52,202,Hogar,4.8,20
351,Enciclopedia_455,435.88,12,Libros,4.2,10
352,Mesa_834,1976.14,440,Hogar,2.0,50
353,Pantalon_624,901.05,416,Ropa,3.8,20
354,Lego_176,328.29,34,Juguetes,3.6,0
355,Carro RC_431,540.29,135,Juguetes,3.7,5
356,Camisa_953,1319.52,171,Ropa,2.5,50
357,Pesas_522,1021.19,346,Deportes,2.1,5
358,Camisa_186,1058.52,453,Ropa,3.5,50
359,Bicicleta_768,1909.5,261,Deportes,2.2,10
360,Licuadora_531,63.67,401,Hogar,3.5,15
361,Diccionario_623,1542.65,127,Libros,1.6,15
362,Novela_880,1280.54,500,Libros,1.9,15
363,Bicicleta_933,2332.4,32,Deportes,4.2,5
364,Lego_783,1995.37,423,Juguetes,3.9,50
365,Balon_501,1845.07,137,Deportes,1.7,5
366,Muneca_319,2063.47,380,Juguetes,2.9,5
367,Tenis_793,1696.08,150,Deportes,2.0,0
368,Puzzle_782,15.66,220,Juguetes,1.5,5
369,Puzzle_772,888.74,455,Juguetes,3.8,5
370,Monitor_869,492.5,260,Electronica,4.8,50
371,Celular_698,1481.33,224,Electronica,2.3,10
372,Tablet_525,741.17,86,Electronica,4.7,0
373,Enciclopedia_276,148.06,320,Libros,2.2,50
374,Pantalon_173,2477.02,89,Ropa,4.4,5
375,Audifonos_153,259.78,97,Electronica,3.5,15
376,Camisa_936,1548.45,85,Ropa,2.7,5
377,Carro RC_506,627.76,120,Juguetes,2.4,20
378,Bicicleta_100,1820.98,36,Deportes,2.5,15
379,Raqueta_572,773.82,396,Deportes,3.7,0
380,Peluche_130,474.0,174,Juguetes,1.4,0
381,Poesia_755,1577.85,458,Libros,1.0,20
382,Camisa_403,1160.74,66,Ropa,2.7,15
383,Tenis_555,2390.13,386,Deportes,1.9,0
384,Calcetines_978,775.86,90,Ropa,1.9,5
385,Sofa_466,1498.35,215,Hogar,4.2,50
386,Peluche_599,2052.71,74,Juguetes,1.5,50
387,Celular_228,1015.19,132,Electronica,4.5,20
388,Sofa_583,2084.84,26,Hogar,4.3,50
389,Silla_887,1196.92,4,Hogar,2.8,15
390,Peluche_426,1948.16,424,Juguetes,1.0,5
391,Licuadora_981,2211.32,138,Hogar,2.0,5
392,Tablet_194,1595.01,450,Electronica,1.5,15
393,Laptop_975,1305.17,427,Electronica,1.1,15
394,Gorra_106,2049.93,395,Ropa,4.9,0
395,Pantalon_919,2111.57,402,Ropa,4.8,0
396,Raqueta_935,2189.81,390,Deportes,2.5,10
397,Pantalon_889,1973.29,277,Ropa,2.5,15
398,Comic_373,347.57,141,Libros,3.4,0
399,Pesas_285,631.63,361,Deportes,1.0,15
400,Licuadora_218,1403.17,484,Hogar,4.8,10
401,Monitor_389,1389.16,117,Electronica,2.2,10
402,Poesia_760,310.74,237,Libros,3.5,10
403,Bicicleta_621,2091.86,117,Deportes,4.1,5
404,Enciclopedia_867,2338.95,494,Libros,1.5,10
405,Bicicleta_447,1735.02,95,Deportes,3.6,50
406,Pantalon_926,2036.04,424,Ropa,1.6,5
407,Comic_229,1629.0,487,Libros,4.6,50
408,Sofa_807,1694.11,479,Hogar,1.5,5
409,Monitor_893,2214.17,381,Electronica,2.1,5
410,Balon_268,1769.09,226,Deportes,1.1,15
411,Novela_339,604.47,293,Libros,2.7,20
412,Calcetines_178,112.17,67,Ropa,2.9,15
413,Silla_934,688.32,279,Hogar,1.8,20
414,Monitor_492,2342.49,138,Electronica,4.7,5
415,Sofa_607,660.3,136,Hogar,2.1,10
416,Audifonos_782,1995.31,67,Electronica,2.7,20
417,Monitor_800,1953.01,63,Electronica,3.3,20
418,Puzzle_824,553.18,320,Juguetes,1.7,0
419,Novela_270,290.0,61,Libros,4.2,10
420,Silla_659,514.86,126,Hogar,4.2,50
421,Calcetines_348,1469.9,363,Ropa,2.6,0
422,Chaqueta_605,1060.69,43,Ropa,1.6,5
423,Gorra_725,331.8,409,Ropa,1.2,50
424,Mesa_459,1542.29,435,Hogar,1.4,0
425,Puzzle_173,2150.33,398,Juguetes,3.2,5
426,Pantalon_470,1142.57,451,Ropa,3.7,5
427,Carro RC_726,1818.47,216,Juguetes,2.7,5
428,Chaqueta_746,483.57,383,Ropa,3.1,20
429,Camisa_111,359.01,288,Ropa,4.6,5
430,Pantalon_837,1722.62,398,Ropa,1.0,10
431,Monitor_970,1065.42,328,Electronica,4.9,10
432,Puzzle_385,203.59,424,Juguetes,5.0,50
433,Peluche_364,1653.63,15,Juguetes,3.0,0
434,Peluche_704,2300.57,483,Juguetes,4.4,0
435,Camisa_529,1981.39,131,Ropa,4.9,50
436,Carro RC_215,1044.77,456,Juguetes,4.7,10
437,Tablet_724,2322.15,26,Electronica,2.4,50
438,Calcetines_652,1937.63,117,Ropa,2.0,20
439,Gorra_610,2282.28,455,Ropa,1.1,15
440,Silla_979,833.61,20,Hogar,4.2,50
441,Mesa_200,1836.54,337,Hogar,1.0,20
442,Audifonos_803,1273.0,90,Electronica,1.0,0
443,Mesa_707,1229.15,272,Hogar,4.9,15
444,Carro RC_614,618.38,214,Juguetes,3.4,5
445,Muneca_474,1349.77,383,Juguetes,1.6,15
446,Comic_904,937.3,170,Libros,4.6,20
447,Bicicleta_646,1382.37,79,Deportes,4.8,5
448,Mesa_626,1066.68,280,Hogar,1.1,20
449,Poesia_984,1436.03,104,Libros,2.5,50
450,Tablet_510,2015.99,497,Electronica,1.3,10
451,Tablet_611,1403.57,394,Electronica,4.5,15
452,Puzzle_499,1686.98,209,Juguetes,2.8,15
453,Lampara_622,1279.45,490,Hogar,1.4,5
454,Calcetines_824,1080.13,429,Ropa,2.0,5
455,Lego_728,626.05,85,Juguetes,2.8,5
456,Camisa_348,1100.45,193,Ropa,1.4,10
457,Calcetines_596,1802.34,71,Ropa,3.3,5
458,Silla_846,2125.77,466,Hogar,1.4,50
459,Monitor_562,1916.86,462,Electronica,1.7,5
460,Peluche_828,1090.33,108,Juguetes,4.8,20
461,Pesas_863,1472.58,59,Deportes,4.2,0
462,Poesia_243,2497.68,17,Libros,2.5,5
463,Poesia_187,2467.61,112,Libros,5.0,10
464,Bicicleta_808,1542.32,324,Deportes,1.9,15
465,Novela_982,928.26,6,Libros,2.9,15
466,Lego_499,1048.78,41,Juguetes,1.8,10
467,Peluche_941,939.35,467,Juguetes,1.8,15
468,Peluche_763,1868.24,89,Juguetes,1.5,15
469,Monitor_715,2188.97,361,Electronica,4.5,0
470,Mesa_962,1648.3,295,Hogar,4.3,5
471,Monitor_435,275.97,77,Electronica,4.7,5
472,Enciclopedia_989,452.53,44,Libros,2.9,50
473,Raqueta_321,1085.14,78,Deportes,4.7,10
474,Mesa_244,322.98,394,Hogar,2.6,20
475,Laptop_343,1894.89,93,Electronica,4.9,15
476,Licuadora_843,117.17,177,Hogar,1.1,0
477,Lego_427,1008.14,6,Juguetes,3.1,5
478,Pesas_119,316.88,161,Deportes,4.4,5
479,Diccionario_865,195.35,422,Libros,4.6,20
480,Calcetines_378,1509.83,387,Ropa,1.8,0
481,Chaqueta_925,675.04,300,Ropa,4.7,15
482,Balon_584,1584.15,287,Deportes,3.6,50
483,Celular_373,1812.22,104,Electronica,2.4,5
484,Calcetines_925,711.6,303,Ropa,5.0,20
485,Lampara_500,555.76,216,Hogar,1.5,15
486,Muneca_362,2071.55,179,Juguetes,1.6,50
487,Bicicleta_341,1318.89,397,Deportes,2.3,0
488,Gorra_826,930.54,121,Ropa,4.8,0
489,Pesas_378,83.22,361,Deportes,1.7,0
490,Sofa_612,1164.23,302,Hogar,4.4,15
491,Mesa_492,610.49,464,Hogar,1.2,50
492,Novela_593,1935.85,134,Libros,1.6,10
493,Camisa_422,1472.44,99,Ropa,3.7,50
494,Lampara_374,709.64,184,Hogar,4.8,10
495,Silla_575,1186.19,357,Hogar,4.8,0
496,Bicicleta_870,941.49,234,Deportes,3.9,5
497,Chaqueta_208,2000.74,40,Ropa,2.3,15
498,Tablet_537,1042.22,336,Electronica,4.4,15
499,Carro RC_639,1981.47,64,Juguetes,1.5,15
500,Laptop_376,1110.05,20,Electronica,3.6,10
501,Licuadora_650,1470.82,468,Hogar,4.0,0
502,Carro RC_736,1082.64,486,Juguetes,2.7,5
503,Celular_609,2039.68,83,Electronica,3.9,50
504,Enciclopedia_276,1999.67,325,Libros,3.7,10
505,Diccionario_118,124.6,210,Libros,2.8,0
506,Chaqueta_696,549.37,347,Ropa,1.8,15
507,Silla_588,741.61,385,Hogar,1.0,10
508,Laptop_278,1217.48,352,Electronica,1.9,0
509,Tablet_300,2466.34,242,Electronica,2.2,10
510,Tenis_206,1383.89,82,Deportes,2.2,20
511,Peluche_511,1841.55,464,Juguetes,2.3,0
512,Laptop_584,12.65,140,Electronica,2.9,0
513,Licuadora_877,1758.74,160,Hogar,5.0,20
514,Audifonos_317,672.36,281,Electronica,2.1,15
515,Pesas_589,491.64,461,Deportes,1.5,20
516,Tenis_159,1944.12,224,Deportes,1.6,5
517,Tablet_169,480.99,255,Electronica,3.2,5
